"country","life_expectancy","region"
"MONACO",89.8,"Europe"
"SINGAPORE",86.7,"East and Southeast Asia"
"MACAU",85.3,"East and Southeast Asia"
"JAPAN",85.2,"East and Southeast Asia"
"CANADA",84.2,"North America"
"SAN MARINO",84.2,"Europe"
"HONG KONG",84,"East and Southeast Asia"
"ICELAND",84,"Europe"
"SWITZERLAND",83.9,"Europe"
"ANDORRA",83.8,"Europe"
"GUERNSEY",83.6,"Europe"
"MALTA",83.6,"Europe"
"AUSTRALIA",83.5,"Australia and Oceania"
"LUXEMBOURG",83.4,"Europe"
"KOREA, SOUTH",83.4,"East and Southeast Asia"
"ISRAEL",83.1,"Middle East"
"JERSEY",83,"Europe"
"SPAIN",83,"Europe"
"ITALY",83,"Europe"
"LIECHTENSTEIN",83,"Europe"
"SWEDEN",82.9,"Europe"
"NORWAY",82.9,"Europe"
"NEW ZEALAND",82.9,"Australia and Oceania"
"AUSTRIA",82.7,"Europe"
"FRANCE",82.6,"Europe"
"ANGUILLA",82.6,"Central America and the Caribbean"
"CAYMAN ISLANDS",82.5,"Central America and the Caribbean"
"ISLE OF MAN",82.5,"Europe"
"BERMUDA",82.5,"North America"
"BELGIUM",82.3,"Europe"
"FINLAND",82.2,"Europe"
"SLOVENIA",82.2,"Europe"
"UNITED KINGDOM",82.2,"Europe"
"PUERTO RICO",82.1,"Central America and the Caribbean"
"DENMARK",82.1,"Europe"
"IRELAND",82,"Europe"
"PORTUGAL",81.9,"Europe"
"GERMANY",81.9,"Europe"
"NETHERLANDS",81.9,"Europe"
"GREECE",81.9,"Europe"
"SAINT PIERRE AND MIQUELON",81.8,"North America"
"FAROE ISLANDS",81.7,"Europe"
"TAIWAN",81.6,"East and Southeast Asia"
"TURKS AND CAICOS ISLANDS",81.3,"Central America and the Caribbean"
"WALLIS AND FUTUNA",81.1,"Australia and Oceania"
"SAINT MARTIN",81,"Central America and the Caribbean"
"SAINT BARTHELEMY",81,"Central America and the Caribbean"
"GIBRALTAR",80.9,"Europe"
"UNITED STATES",80.9,"North America"
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",80.9,"Africa"
"VIRGIN ISLANDS",80.7,"Central America and the Caribbean"
"BAHRAIN",80.4,"Middle East"
"QATAR",80.3,"Middle East"
"COSTA RICA",80.3,"Central America and the Caribbean"
"CHILE",80.3,"South America"
"CYPRUS",80.2,"Europe"
"BRITISH VIRGIN ISLANDS",80.1,"Central America and the Caribbean"
"CUBA",80.1,"Central America and the Caribbean"
"CURACAO",79.9,"Central America and the Caribbean"
"UNITED ARAB EMIRATES",79.9,"Middle East"
"ALBANIA",79.9,"Europe"
"SINT MAARTEN",79.7,"Central America and the Caribbean"
"KUWAIT",79.6,"Middle East"
"SAINT LUCIA",79.4,"Central America and the Caribbean"
"NEW CALEDONIA",79.3,"Australia and Oceania"
"PANAMA",79.2,"Central America and the Caribbean"
"LEBANON",79.2,"Middle East"
"BARBADOS",79,"Central America and the Caribbean"
"FRENCH POLYNESIA",78.9,"Australia and Oceania"
"URUGUAY",78.9,"South America"
"BRUNEI",78.9,"East and Southeast Asia"
"ARGENTINA",78.8,"South America"
"PARAGUAY",78.8,"South America"
"DOMINICA",78.7,"Central America and the Caribbean"
"CHINA",78.7,"East and Southeast Asia"
"CZECHIA",78.6,"Europe"
"BOSNIA AND HERZEGOVINA",78.5,"Europe"
"ARUBA",78.5,"Central America and the Caribbean"
"ESTONIA",78.4,"Europe"
"ANTIGUA AND BARBUDA",78.3,"Central America and the Caribbean"
"THAILAND",78.2,"East and Southeast Asia"
"MONTENEGRO",78.2,"Europe"
"GUAM",78,"Australia and Oceania"
"TONGA",78,"Australia and Oceania"
"ALGERIA",77.9,"Africa"
"CROATIA",77.7,"Europe"
"LIBYA",77.7,"Africa"
"COOK ISLANDS",77.6,"Australia and Oceania"
"SAINT KITTS AND NEVIS",77.6,"Central America and the Caribbean"
"MALDIVES",77.4,"South Asia"
"OMAN",77.4,"Middle East"
"NORTH MACEDONIA",77.3,"Europe"
"TUNISIA",77.3,"Africa"
"SLOVAKIA",77.2,"Europe"
"SOLOMON ISLANDS",77.2,"Australia and Oceania"
"SAINT VINCENT AND THE GRENADINES",77.2,"Central America and the Caribbean"
"SAUDI ARABIA",77.2,"Middle East"
"NORTHERN MARIANA ISLANDS",77.1,"Australia and Oceania"
"ROMANIA",76.9,"Europe"
"SRI LANKA",76.8,"South Asia"
"POLAND",76.7,"Europe"
"ARMENIA",76.7,"Central Asia"
"TURKEY (TURKIYE)",76.7,"Middle East"
"BAHAMAS, THE",76.7,"Central America and the Caribbean"
"SEYCHELLES",76.6,"Africa"
"MALAYSIA",76.6,"East and Southeast Asia"
"TRINIDAD AND TOBAGO",76.5,"Central America and the Caribbean"
"WEST BANK",76.5,"Middle East"
"JORDAN",76.5,"Middle East"
"LATVIA",76.4,"Europe"
"JAMAICA",76.3,"Central America and the Caribbean"
"GRENADA",76.3,"Central America and the Caribbean"
"BRAZIL",76.3,"South America"
"UZBEKISTAN",76.2,"Central Asia"
"VIETNAM",76.1,"East and Southeast Asia"
"MONTSERRAT",76.1,"Central America and the Caribbean"
"LITHUANIA",76.1,"Europe"
"BULGARIA",76.1,"Europe"
"HUNGARY",76,"Europe"
"AZERBAIJAN",75.9,"Central Asia"
"EL SALVADOR",75.9,"Central America and the Caribbean"
"AMERICAN SAMOA",75.8,"Australia and Oceania"
"VANUATU",75.7,"Australia and Oceania"
"SAMOA",75.7,"Australia and Oceania"
"IRAN",75.6,"Middle East"
"GAZA STRIP",75.5,"Middle East"
"MAURITIUS",75.4,"Africa"
"SERBIA",75.3,"Europe"
"BANGLADESH",75.2,"South Asia"
"MARSHALL ISLANDS",75.2,"Australia and Oceania"
"PALAU",75.2,"Australia and Oceania"
"EGYPT",75,"Africa"
"MICRONESIA, FEDERATED STATES OF",75,"Australia and Oceania"
"COLOMBIA",74.9,"South America"
"ECUADOR",74.9,"South America"
"FIJI",74.8,"Australia and Oceania"
"SYRIA",74.8,"Middle East"
"BELARUS",74.7,"Europe"
"NICARAGUA",74.7,"Central America and the Caribbean"
"MEXICO",74.6,"North America"
"GREENLAND",74.5,"North America"
"VENEZUELA",74.5,"South America"
"BELIZE",74.3,"Central America and the Caribbean"
"CABO VERDE",74.3,"Africa"
"MOROCCO",74.2,"Africa"
"IRAQ",73.7,"Middle East"
"BHUTAN",73.7,"South Asia"
"INDONESIA",73.6,"East and Southeast Asia"
"GUATEMALA",73.5,"Central America and the Caribbean"
"KOREA, NORTH",73.5,"East and Southeast Asia"
"KAZAKHSTAN",73.3,"Central Asia"
"HONDURAS",73.1,"Central America and the Caribbean"
"KOSOVO",73.1,"Europe"
"NEPAL",73,"South Asia"
"MALAWI",73,"Africa"
"CONGO, REPUBLIC OF THE",72.9,"Africa"
"KYRGYZSTAN",72.9,"Central Asia"
"GEORGIA",72.8,"Central Asia"
"SURINAME",72.7,"South America"
"DOMINICAN REPUBLIC",72.6,"Central America and the Caribbean"
"BOLIVIA",72.5,"South America"
"TURKMENISTAN",72.4,"Central Asia"
"GUYANA",72.4,"South America"
"RUSSIA",72.3,"Central Asia"
"TOGO",72.1,"Africa"
"SOUTH AFRICA",71.9,"Africa"
"TAJIKISTAN",71.9,"Central Asia"
"MONGOLIA",71.9,"East and Southeast Asia"
"CAMBODIA",71.4,"East and Southeast Asia"
"PHILIPPINES",70.8,"East and Southeast Asia"
"TANZANIA",70.8,"Africa"
"SENEGAL",70.6,"Africa"
"UKRAINE",70.5,"Europe"
"TIMOR-LESTE",70.5,"East and Southeast Asia"
"GABON",70.4,"Africa"
"KENYA",70.4,"Africa"
"BURMA",70.3,"East and Southeast Asia"
"PAKISTAN",70.3,"South Asia"
"MOLDOVA",70.1,"Europe"
"GHANA",70.1,"Africa"
"PAPUA NEW GUINEA",70.1,"East and Southeast Asia"
"UGANDA",69.7,"Africa"
"LAOS",69,"East and Southeast Asia"
"TUVALU",69,"Australia and Oceania"
"PERU",68.9,"South America"
"MADAGASCAR",68.8,"Africa"
"NAURU",68.6,"Australia and Oceania"
"KIRIBATI",68.5,"Australia and Oceania"
"GAMBIA, THE",68.4,"Africa"
"INDIA",68.2,"South Asia"
"YEMEN",68.2,"Middle East"
"BURUNDI",68.1,"Africa"
"COMOROS",67.8,"Africa"
"SUDAN",67.8,"Africa"
"SAO TOME AND PRINCIPE",67.7,"Africa"
"ETHIOPIA",67.7,"Africa"
"ERITREA",67.5,"Africa"
"ZIMBABWE",67.2,"Africa"
"ZAMBIA",66.9,"Africa"
"RWANDA",66.6,"Africa"
"BOTSWANA",66.4,"Africa"
"DJIBOUTI",65.9,"Africa"
"NAMIBIA",65.9,"Africa"
"MAURITANIA",65.9,"Africa"
"HAITI",65.6,"Central America and the Caribbean"
"GUINEA",64.6,"Africa"
"GUINEA-BISSAU",64.5,"Africa"
"BURKINA FASO",64.2,"Africa"
"CAMEROON",64.2,"Africa"
"EQUATORIAL GUINEA",63.9,"Africa"
"MALI",63.2,"Africa"
"COTE D'IVOIRE",63.2,"Africa"
"BENIN",63,"Africa"
"ANGOLA",62.9,"Africa"
"CONGO, DEMOCRATIC REPUBLIC OF THE",62.6,"Africa"
"NIGERIA",62.2,"Africa"
"LIBERIA",61.6,"Africa"
"NIGER",60.9,"Africa"
"ESWATINI",60.7,"Africa"
"SOUTH SUDAN",60.3,"Africa"
"LESOTHO",60.2,"Africa"
"CHAD",60,"Africa"
"SIERRA LEONE",59.4,"Africa"
"MOZAMBIQUE",58.3,"Africa"
"SOMALIA",56.5,"Africa"
"CENTRAL AFRICAN REPUBLIC",56.4,"Africa"
"AFGHANISTAN",54.4,"South Asia"
